Roll Rate,Pitch Rate,Yaw Rate
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.830091647972885621e-02,2.414681102037810265e-02,-1.454206029440970438e+00
2.195093450210908528e-02,1.875682819699716827e-02,-1.131049133990469358e+00
2.815853602522657220e-02,2.409716730137785937e-02,-1.454206029366704733e+00
3.432677481225275551e-02,2.943076629865008093e-02,-1.777362924665629063e+00
4.044983429037120326e-02,3.475849363651965784e-02,-2.100519819827303181e+00
-3.021567441942134002e-01,-2.916821888335813795e-01,-7.904347176416398391e+00
-3.907258651386139037e-02,-4.258264644296121809e-02,-4.202636702803721924e+00
-4.344158847115801164e-02,-4.758744588359174049e-02,-4.697064550846757669e+00
-4.774068926956128583e-02,-5.259589541316386785e-02,-5.191492399341665731e+00
-5.196374676569000262e-02,-5.760912464881397244e-02,-5.685920248483294692e+00
-4.195324943380360216e-01,1.268923521352940176e+00,3.243504345740080907e+01
-1.185705197500253605e-01,1.431119536652569468e-01,-5.054530352546444671e-01
-1.269863304780752267e-01,1.531754883992320071e-01,-5.428940034194744690e-01
-1.353342088951881017e-01,1.631374634929195766e-01,-5.803349725494489908e-01
-1.436109205377381348e-01,1.729928117495073137e-01,-6.177759428443992951e-01
7.069716176965304966e-01,4.367145607167529087e-01,-6.945091837824104175e+01
