Roll,Pitch,Yaw
2.499914547633071485e-02,-3.428860292938783888e-02,-4.089393786544038178e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.112726247574609948e-04,1.009335806847199606e-03,-3.024249894083496856e-02
-3.758435177738409460e-04,1.792569507781856643e-03,-5.376444256595642318e-02
-5.878597654778747010e-04,2.797769674237144278e-03,-8.400694152419005412e-02
-8.477025767866957530e-04,4.023884499696039896e-03,-1.209699958339043729e-01
-1.155856361563573813e-03,5.469731136465111158e-03,-1.646536055281202227e-01
-3.239052274691445448e-03,3.274406061811882106e-03,-1.212541626759013336e-01
-4.095803646175107636e-03,4.136704632201923353e-03,-1.534622996374448156e-01
-5.051950792879718842e-03,5.097161448830915369e-03,-1.894596291831714963e-01
-6.107146222888693542e-03,6.154809585222105819e-03,-2.292461513132056095e-01
-7.261026772529747056e-03,7.308605846717891250e-03,-2.728218660275802399e-01
-1.977408211646681895e-03,1.671198559940408751e-02,2.273466291554437080e-01
-2.279308218902827143e-03,1.934932239565394924e-02,2.636682809778089220e-01
-2.599456089293663598e-03,2.217317477244052856e-02,3.026804260236057309e-01
-2.937017703803133060e-03,2.518188852883343834e-02,3.443830644795692897e-01
-3.291111301887519533e-03,2.837372802400542002e-02,3.887761965721214796e-01
1.926068647339850351e-02,1.352226281317256158e-03,8.218853961743899372e-01
2.141624030530703618e-02,1.474824845346238119e-03,9.157426757890247959e-01
2.367947224072189383e-02,1.597213465610173135e-03,1.014673320735701267e+00
2.604912719904209015e-02,1.718369877122730323e-03,1.118677330708749418e+00
2.852389977515222899e-02,1.837231561853025193e-03,1.227754705356159048e+00
2.499914547633071485e-02,-3.428860292938783888e-02,-4.089393786544038178e+00
